"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","After2_Co","PaintingLT"
"5","0","정상","50","AU",2,5266,"B","S-80","CS",1362,2,1,"성일SIM함안공장","하이에어",31
"6","0","정상","50","AU",2,450,"B","S-80","CS",5243,4,2,"성일SIM함안공장","하이에어",31
"7","1","정상","50","AU",1,5123,"A","S-80","CS",14316,4,3,"건일산업(주)","건일산업(주)",21
"8","1","정상","50","AU",1,3911,"A","S-80","CS",1118,1,0,"건일산업(주)","건일산업(주)",27
"11","0","정상","50","WD",3,5233,"B","S-10S","SS",2141,2,1,"삼성중공업(주)거제","하이에어",28
"13","1","정상","50","WD",1,5123,"A","S-80S","SS",14338,4,3,"건일산업(주)","하이에어",31
"14","1","정상","50","WD",3,4638,"A","S-10S","SS",15774,4,3,"건일산업(주)","하이에어",21
"15","1","준긴급","50","FWH",6,885,"B","S-40","CS",17116,1,0,"건일산업(주)","건일산업(주)",20
"16","1","준긴급","50","CDW",2,886,"B","S-160","CS",7725,1,0,"건일산업(주)","건일산업(주)",20
"18","1","정상","3B","AU",1,1952,"B","S-80","CS",6424,8,7,"(주)성광테크","(주)성광테크",20
"19","1","준긴급","3B","FWH",6,2881,"B","S-40","CS",1920,1,0,"건일산업(주)","건일산업(주)",22
"20","1","정상","3B","AU",2,3597,"B","S-80","CS",15664,6,5,"건일산업(주)","건일산업(주)",22
"21","1","정상","3B","N",0.5,4950,"B","S-80","CS",182,2,1,"건일산업(주)","건일산업(주)",23
"22","1","정상","3B","AI",0.5,4917,"B","S-80","CS",179,2,1,"건일산업(주)","건일산업(주)",23
"25","1","정상","3B","AU",2,4638,"B","S-80","CS",18545,6,5,"건일산업(주)","건일산업(주)",23
"26","1","정상","3B","AU",2,2563,"B","S-80","CS",12260,4,3,"건일산업(주)","건일산업(주)",25
"27","1","정상","3B","AI",1,4917,"B","S-80","CS",1022,2,1,"건일산업(주)","건일산업(주)",23
"28","1","준긴급","3B","CDW",2,1409,"B","S-160","CS",9885,2,1,"건일산업(주)","건일산업(주)",22
"29","1","정상","3B","N",0.75,4961,"B","S-80","CS",958,2,1,"건일산업(주)","건일산업(주)",23
"30","1","정상","3B","AU",0.75,1069,"B","S-80","CS",994,2,1,"건일산업(주)","건일산업(주)",23
"31","1","정상","50","WD",1,1107,"A","S-80S","SS",1099,2,1,"건일산업(주)","하이에어",29
"33","1","정상","50","WD",3,4467,"A","S-10S","SS",15407,3,1,"건일산업(주)","하이에어",21
"34","1","정상","50","FW",4,214,"A","T-6.35","CN",10899,3,1,"부흥","하이에어",20
"35","1","정상","50","FWH",1,2802,"A","S-160","CS",8883,6,5,"(주)성광테크","(주)성광테크",24
"37","1","정상","50","AI",2,329,"A","S-80","CS",4799,4,2,"건일산업(주)","건일산업(주)",25
"38","1","정상","50","AU",2,396,"A","S-80","CS",3698,3,2,"건일산업(주)","건일산업(주)",25
"39","1","정상","50","N",2,396,"A","S-80","CS",3698,3,2,"건일산업(주)","건일산업(주)",25
"40","1","정상","50","CT",0.5,5211,"A","S-80S","SS",3827,5,3,"건일산업(주)","하이에어",22
"41","0","정상","40","WM",3,1661,"A","S-80","CS",15860,3,1,"성일SIM함안공장","성일SIM함안공장",20
"42","0","최소","40","AU",2,3952,"A","S-80","CS",15586,2,1,"해승케이피피","해승케이피피",20
"44","0","정상","40","CM",2,5062,"A","S-160","CS",9934,6,4,"성일SIM함안공장","성일SIM함안공장",20
"45","0","최소","40","HWR",2,2643,"A","S-80","CS",13099,3,1,"(주)성광테크","(주)성광테크",23
"46","0","최소","40","HWS",2,2643,"A","S-80","CS",13099,3,1,"(주)성광테크","(주)성광테크",23
"47","0","최소","40","N",2,3844,"A","S-80","CS",15575,2,1,"해승케이피피","해승케이피피",20
"48","0","정상","40","PL",2,792,"A","S-160","CS",12766,4,3,"성일SIM함안공장","성일SIM함안공장",20
"54","0","정상","40","WM",3,749,"A","S-80","CS",15411,4,3,"성일SIM함안공장","성일SIM함안공장",20
"64","0","최소","40","DM",2,1487,"A","S-10S","SS",5210,4,2,"삼성중공업(주)거제","하이에어",22
"65","0","최소","3B","WD",2,899,"A","S-10S","SS",6032,8,7,"삼성중공업(주)거제","하이에어",22
"67","0","최소","40","WD",3,4212,"A","S-10S","SS",15219,3,2,"삼성중공업(주)거제","하이에어",21
"70","0","최소","40","WD",3,4212,"A","S-10S","SS",15219,3,2,"삼성중공업(주)거제","하이에어",21
"71","0","최소","40","PL",4,2292,"A","S-10S","SS",18764,9,8,"삼성중공업(주)거제","하이에어",34
"72","0","최소","40","PL",4,4202,"A","S-10S","SS",17269,3,2,"삼성중공업(주)거제","하이에어",22
"77","0","정상","3B","N",2,546,"A","S-80","CS",11668,7,6,"성일SIM함안공장","성일SIM함안공장",20
"78","0","정상","3B","PL",2,1474,"A","S-160","CS",17586,8,5,"해승케이피피","해승케이피피",27
"84","0","정상","3B","WM",2,1564,"A","S-160","CS",10068,0,3,"성일SIM함안공장","성일SIM함안공장",20
"86","0","정상","3B","CDW",3,4638,"A","S-80","CS",21605,1,0,"성일SIM함안공장","성일SIM함안공장",20
"89","0","정상","3B","CDW",3,4638,"A","S-80","CS",21605,1,0,"성일SIM함안공장","성일SIM함안공장",20
"91","0","정상","3B","PL",2,1802,"A","S-160","CS",18970,8,7,"해승케이피피","해승케이피피",25
"95","0","정상","3B","CM",3,4638,"A","S-80","CS",1794,3,2,"성일SIM함안공장","성일SIM함안공장",20
"97","0","정상","3B","WM",3,1552,"A","S-80","CS",21047,5,4,"(주)성광테크","(주)성광테크",29
"100","0","정상","3B","CM",4,4638,"A","S-40","CS",8137,5,4,"해승케이피피","해승케이피피",20
"105","0","정상","3B","PL",4,4638,"A","S-40","CS",4193,8,5,"해승케이피피","해승케이피피",35
"110","1","정상","3B","WM",2,1564,"A","S-160","CS",15796,7,6,"성일SIM함안공장","성일SIM함안공장",30
"112","0","정상","40","DM",2,4638,"A","S-10S","SS",12223,3,2,"삼성중공업(주)거제","하이에어",22
"113","0","정상","40","FWL",2,2753,"A","S-10S","SS",9285,6,5,"삼성중공업(주)거제","하이에어",28
"122","0","정상","3B","CM",3,4638,"A","S-10S","SS",15267,3,2,"삼성중공업(주)거제","하이에어",30
"124","0","정상","40","WD",3,5034,"A","S-10S","SS",4010,5,4,"삼성중공업(주)거제","하이에어",28
"125","0","정상","3B","CDD",6,4638,"A","S-10S","SS",5137,2,1,"성일","하이에어",20
