"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","MakingLT"
"1","1","정상","3B","FW",4,4006,"B","T-6.35","CN",3675,8,7,"부흥",18
"2","0","정상","3B","FW",4,597,"B","T-6.35","CN",11659,2,1,"부흥",30
"3","0","정상","50","FW",4,4735,"B","T-6.35","CN",6534,2,1,"부흥",26
"4","0","정상","3B","AU",2,1818,"B","S-80","CS",9833,5,4,"성일SIM함안공장",55
"5","0","정상","3B","AU",2,4638,"B","S-80","CS",18369,5,4,"성일SIM함안공장",30
"6","0","정상","50","AU",2,5266,"B","S-80","CS",1362,2,1,"성일SIM함안공장",37
"7","0","정상","50","AU",2,450,"B","S-80","CS",5243,4,2,"성일SIM함안공장",37
"8","1","정상","50","AU",1,5123,"A","S-80","CS",14316,4,3,"건일산업(주)",17
"9","1","정상","50","AU",1,3911,"A","S-80","CS",1118,1,0,"건일산업(주)",8
"10","1","정상","50","AU",2,4510,"A","S-80","CS",17146,4,3,"(주)성광테크",13
"11","0","정상","3B","WD",3,1710,"B","S-10S","SS",9557,5,4,"삼성중공업(주)거제",40
"12","0","정상","3B","WD",3,4638,"B","S-10S","SS",18447,8,7,"삼성중공업(주)거제",40
"13","0","정상","50","WD",3,5233,"B","S-10S","SS",2141,2,1,"삼성중공업(주)거제",67
"14","0","정상","50","WD",3,241,"B","S-10S","SS",19533,1,0,"삼성중공업(주)거제",40
"15","1","정상","50","WD",1,5123,"A","S-80S","SS",14338,4,3,"건일산업(주)",8
"16","1","정상","50","WD",1,3911,"A","S-80S","SS",1127,1,0,"건일산업(주)",8
"17","1","정상","50","WD",3,4638,"A","S-10S","SS",15774,4,3,"건일산업(주)",24
"18","1","준긴급","50","FW",4,886,"B","T-6.35","CN",11866,1,0,"부흥",16
"19","1","준긴급","50","FW",4,4464,"B","T-6.35","CN",2520,3,2,"부흥",22
"20","1","준긴급","50","FW",4,3393,"B","T-6.35","CN",21942,6,5,"부흥",22
"21","1","준긴급","50","FWH",6,885,"B","S-40","CS",17116,1,0,"건일산업(주)",9
"22","1","준긴급","50","CDW",2,886,"B","S-160","CS",7725,1,0,"건일산업(주)",9
