"","block_group","block_location","ship_type","weight","business","workday_plan","workday_record"
"1","C","P","BC4",5,"CorpSDmasan",4,17
"2","C","S","BC4",5,"CorpSDmasan",4,17
"3","C","P","BC4",5,"CorpSDmasan",4,9
"4","C","S","BC4",5,"CorpSDmasan",4,9
"5","C","P","BC4",5,"CorpSDmasan",4,12
"6","C","S","BC4",5,"CorpSDmasan",4,12
"7","C","C","BC4",6,"CorpSDmasan",4,17
"8","C","C","BC4",6,"CorpSDmasan",4,17
"9","C","C","BC4",7,"CorpSDmasan",4,9
"10","C","C","BC4",7,"CorpSDmasan",4,9
"11","C","C","BC4",7,"CorpSDmasan",4,12
"12","C","C","BC4",7,"CorpSDmasan",4,12
"13","R","P","BC4",36,"MACGREGORKAYABA",5,3
"14","R","S","BC4",36,"MACGREGORKAYABA",5,3
"15","R","P","BC4",42,"MACGREGORKAYABA",5,3
"16","R","S","BC4",42,"MACGREGORKAYABA",5,3
"17","R","P","BC4",33,"MACGREGORKAYABA",5,3
"18","R","S","BC4",33,"MACGREGORKAYABA",5,3
"19","R","P","BC4",41,"MACGREGORKAYABA",5,3
"20","R","S","BC4",41,"MACGREGORKAYABA",5,3
"21","R","P","BC4",33,"MACGREGORKAYABA",5,3
"22","R","S","BC4",33,"MACGREGORKAYABA",5,3
"23","R","P","BC4",33,"MACGREGORKAYABA",5,3
"24","R","S","BC4",33,"MACGREGORKAYABA",5,3
"25","R","P","BC4",28,"MACGREGORKAYABA",5,3
"26","R","S","BC4",28,"MACGREGORKAYABA",5,3
"27","W","P","BC4",1,"CorpSDmasan",3,17
"28","W","S","BC4",1,"CorpSDmasan",3,17
"29","W","P","BC4",1,"CorpSDmasan",3,17
"30","W","S","BC4",1,"CorpSDmasan",3,17
"31","W","P","BC4",1,"CorpSDmasan",3,9
"32","W","S","BC4",1,"CorpSDmasan",3,9
"33","W","P","BC4",1,"CorpSDmasan",3,9
"34","W","S","BC4",1,"CorpSDmasan",3,9
"35","W","P","BC4",1,"CorpSDmasan",3,12
"36","W","S","BC4",1,"CorpSDmasan",3,12
"37","W","P","BC4",1,"CorpSDmasan",3,12
"38","W","S","BC4",1,"CorpSDmasan",3,12
"39","W","P","BC4",1,"CorpSDmasan",3,14
"40","W","S","BC4",1,"CorpSDmasan",3,14
"41","W","P","BC4",1,"CorpSDmasan",3,14
"42","W","S","BC4",1,"CorpSDmasan",3,14
"43","W","P","BC4",1,"CorpSDmasan",3,16
"44","W","S","BC4",1,"CorpSDmasan",3,16
"45","W","P","BC4",1,"CorpSDmasan",3,16
"46","W","S","BC4",1,"CorpSDmasan",3,16
"51","W","P","BC4",1,"CorpSDmasan",3,21
"52","W","S","BC4",1,"CorpSDmasan",3,21
"53","W","P","BC4",1,"CorpSDmasan",3,21
"54","W","S","BC4",1,"CorpSDmasan",3,21
"55","W","P","BC4",1,"CorpSDmasan",3,15
"56","W","S","BC4",1,"CorpSDmasan",3,15
"57","W","P","BC4",1,"CorpSDmasan",3,15
"58","W","S","BC4",1,"CorpSDmasan",3,15
"63","A","C","BC4",116,"DHMC",5,8
"66","B","P","BC4",35,"1YARD",7,28
"67","B","S","BC4",20,"1YARD",7,28
"68","B","P","BC4",76,"1YARD",7,28
"70","C","P","BC4",5,"CorpSDmasan",4,7
"71","C","S","BC4",5,"CorpSDmasan",4,7
"72","C","P","BC4",5,"CorpSDmasan",4,6
"73","C","S","BC4",5,"CorpSDmasan",4,6
"74","C","P","BC4",5,"CorpSDmasan",4,14
"75","C","S","BC4",5,"CorpSDmasan",4,14
"76","C","P","BC4",5,"CorpSDmasan",4,5
"77","C","S","BC4",5,"CorpSDmasan",4,5
"78","C","P","BC4",5,"CorpSDmasan",4,6
"79","C","S","BC4",5,"CorpSDmasan",4,6
"80","C","P","BC4",5,"CorpSDmasan",4,6
"81","C","S","BC4",5,"CorpSDmasan",4,6
"82","C","P","BC4",5,"CorpSDmasan",4,6
"83","C","S","BC4",5,"CorpSDmasan",4,6
"84","C","P","BC4",5,"CorpSDmasan",4,6
"85","C","S","BC4",5,"CorpSDmasan",4,6
"86","C","P","BC4",5,"CorpSDmasan",4,6
"87","C","S","BC4",5,"CorpSDmasan",4,6
"88","C","C","BC4",6,"CorpSDmasan",4,7
"89","C","C","BC4",6,"CorpSDmasan",4,7
"90","C","C","BC4",7,"CorpSDmasan",4,6
"91","C","C","BC4",7,"CorpSDmasan",4,6
"92","C","C","BC4",7,"CorpSDmasan",4,14
"93","C","C","BC4",7,"CorpSDmasan",4,14
"94","C","C","BC4",7,"CorpSDmasan",4,5
"95","C","C","BC4",7,"CorpSDmasan",4,5
"96","C","C","BC4",7,"CorpSDmasan",4,6
"97","C","C","BC4",7,"CorpSDmasan",4,6
"98","C","C","BC4",7,"CorpSDmasan",4,6
"99","C","C","BC4",7,"CorpSDmasan",4,6
"100","C","C","BC4",7,"CorpSDmasan",4,6
"101","C","C","BC4",7,"CorpSDmasan",4,6
"102","C","C","BC4",7,"CorpSDmasan",4,6
"103","C","C","BC4",7,"CorpSDmasan",4,6
"104","C","C","BC4",6,"CorpSDmasan",4,6
"105","C","C","BC4",6,"CorpSDmasan",4,6
"106","D","P","BC4",35,"1YARD",7,34
"107","D","S","BC4",35,"1YARD",7,34
"108","D","P","BC4",40,"1YARD",7,34
"109","D","S","BC4",40,"1YARD",7,34
"126","D","P","BC4",35,"1YARD",7,33
"127","D","S","BC4",35,"1YARD",7,33
"128","D","P","BC4",25,"1YARD",7,33
"129","D","S","BC4",25,"1YARD",7,33
"132","D","C","BC4",6,"CorpHYIndustry",3,30
"133","D","C","BC4",6,"CorpHYIndustry",3,26
"134","H","P","BC4",20,"CorpSDmasan",8,22
"135","H","S","BC4",20,"CorpSDmasan",8,22
"136","H","P","BC4",40,"CorpSDmasan",8,22
"137","H","S","BC4",40,"CorpSDmasan",8,22
"138","H","P","BC4",20,"CorpSDmasan",8,22
"139","H","S","BC4",20,"CorpSDmasan",8,22
"140","H","P","BC4",21,"CorpSDmasan",8,22
"141","H","S","BC4",21,"CorpSDmasan",8,22
"142","H","P","BC4",20,"1YARD",8,34
"143","H","S","BC4",20,"1YARD",8,34
"144","H","P","BC4",60,"1YARD",8,34
"145","H","S","BC4",60,"1YARD",8,34
"146","H","P","BC4",20,"1YARD",8,34
"147","H","S","BC4",20,"1YARD",8,34
"148","H","P","BC4",22,"1YARD",8,34
"149","H","S","BC4",22,"1YARD",8,34
"150","R","P","BC4",36,"MACGREGORKAYABA",5,3
"151","R","S","BC4",36,"MACGREGORKAYABA",5,3
"152","R","P","BC4",42,"MACGREGORKAYABA",5,3
"153","R","S","BC4",42,"MACGREGORKAYABA",5,3
"154","R","P","BC4",33,"MACGREGORKAYABA",5,3
"155","R","S","BC4",33,"MACGREGORKAYABA",5,3
"156","R","P","BC4",33,"MACGREGORKAYABA",5,3
"157","R","S","BC4",33,"MACGREGORKAYABA",5,3
"158","R","P","BC4",33,"MACGREGORKAYABA",5,3
"159","R","S","BC4",33,"MACGREGORKAYABA",5,3
"160","R","P","BC4",41,"MACGREGORKAYABA",5,3
"161","R","S","BC4",41,"MACGREGORKAYABA",5,3
"162","R","P","BC4",33,"MACGREGORKAYABA",5,3
"163","R","S","BC4",33,"MACGREGORKAYABA",5,3
"164","R","P","BC4",33,"MACGREGORKAYABA",5,3
"165","R","S","BC4",33,"MACGREGORKAYABA",5,3
"166","R","P","BC4",28,"MACGREGORKAYABA",5,3
"167","R","S","BC4",28,"MACGREGORKAYABA",5,3
"168","W","P","BC4",1,"CorpSDmasan",3,7
"169","W","S","BC4",1,"CorpSDmasan",3,7
"170","W","P","BC4",1,"CorpSDmasan",3,7
