"","no_project","block","direction1","direction2","shape","division","work","long","width","height","total_weight","workday_plan","workday_record"
"1","H8003","A","11","C","0","H","A",6.04,2.624,6.104,22.743,1,12
"2","H8003","A","11","C","0","H","A",6.04,2.624,6.104,22.743,15,14
"3","H8003","A","11","C","0","H","B",6.04,2.624,6.104,22.743,32,32
"4","H8003","A","11","C","0","H","C",6.04,2.624,6.104,22.743,70,72
"5","H8003","A","11","C","0","H","E",6.04,2.624,6.104,22.743,22,28
"6","H8003","A","11","C","0","M","A",6.04,2.624,6.104,22.743,6,32
"7","H8003","A","11","C","0","P","A",6.04,2.624,6.104,22.743,12,12
"8","H8003","A","11","C","0","P","A",6.04,2.624,6.104,22.743,11,19
"9","H8003","A","11","C","0","S","A",6.04,2.624,6.104,22.743,53,63
"10","H8003","A","11","C","1","H","C",3.538,2.681,2.681,8.447,25,25
"11","H8003","A","21","C","0","A","A",7.7,19.007,3.7,106.242,43,1
"12","H8003","A","21","C","0","H","A",7.7,19.007,3.7,106.242,11,11
"13","H8003","A","21","C","0","H","A",7.7,19.007,3.7,106.242,15,15
"14","H8003","A","21","C","0","H","B",7.7,19.007,3.7,106.242,4,6
"15","H8003","A","21","C","0","H","C",7.7,19.007,3.7,106.242,5,2
"16","H8003","A","21","C","0","H","C",7.7,19.007,3.7,106.242,57,57
"17","H8003","A","21","C","0","H","E",7.7,19.007,3.7,106.242,25,21
"18","H8003","A","21","C","0","M","A",7.7,19.007,3.7,106.242,7,51
"19","H8003","A","21","C","0","P","A",7.7,19.007,3.7,106.242,24,29
"20","H8003","A","21","C","0","S","A",7.7,19.007,3.7,106.242,43,44
"21","H8003","A","21","C","1","H","C",7.708,10.355,4.22,26.317,31,31
"22","H8003","A","21","C","2","H","C",7.708,10.355,4.22,28.375,31,31
"23","H8003","A","31","C","0","A","A",11.815,24.6,5.238,173.28,41,1
"24","H8003","A","31","C","0","E","A",11.815,24.6,5.238,173.28,14,1
"25","H8003","A","31","C","0","H","A",11.815,24.6,5.238,173.28,1,5
"26","H8003","A","31","C","0","H","A",11.815,24.6,5.238,173.28,22,34
"27","H8003","A","31","C","0","H","B",11.815,24.6,5.238,173.28,10,8
"28","H8003","A","31","C","0","H","C",11.815,24.6,5.238,173.28,3,5
"29","H8003","A","31","C","0","H","C",11.815,24.6,5.238,173.28,49,52
"30","H8003","A","31","C","0","H","E",11.815,24.6,5.238,173.28,28,24
"31","H8003","A","31","C","0","M","A",11.815,24.6,5.238,173.28,14,32
"32","H8003","A","31","C","0","P","A",11.815,24.6,5.238,173.28,30,35
"34","H8003","A","31","C","1","H","C",6.8,9,4.9,26.858,19,24
"35","H8003","A","31","C","2","H","C",7.755,5.66,4.51,15.162,19,24
"36","H8003","A","31","C","3","H","C",6.8,9,4.9,26.858,19,24
"37","H8003","A","31","C","4","H","C",7.755,5.66,4.51,15.162,19,24
"38","H8003","A","41","C","0","A","A",11.814,25.982,5.49,145.447,39,1
"39","H8003","A","41","C","0","D","A",11.814,25.982,5.49,145.447,22,12
"40","H8003","A","41","C","0","E","A",11.814,25.982,5.49,145.447,14,2
"41","H8003","A","41","C","0","E","A",11.814,25.982,5.49,145.447,10,3
"42","H8003","A","41","C","0","H","A",11.814,25.982,5.49,145.447,1,30
"43","H8003","A","41","C","0","H","A",11.814,25.982,5.49,145.447,15,7
"44","H8003","A","41","C","0","H","B",11.814,25.982,5.49,145.447,5,8
"45","H8003","A","41","C","0","H","C",11.814,25.982,5.49,145.447,3,2
"46","H8003","A","41","C","0","H","C",11.814,25.982,5.49,145.447,49,50
"47","H8003","A","41","C","0","H","E",11.814,25.982,5.49,145.447,21,28
"48","H8003","A","41","C","0","M","A",11.814,25.982,5.49,145.447,22,29
"49","H8003","A","41","C","0","M","A",11.814,25.982,5.49,145.447,10,28
"50","H8003","A","41","C","0","P","A",11.814,25.982,5.49,145.447,15,16
"51","H8003","A","41","C","0","S","A",11.814,25.982,5.49,145.447,39,36
"52","H8003","A","41","C","0","S","B",11.814,25.982,5.49,145.447,10,14
"54","H8003","A","41","C","1","H","C",14,5.4,2.59,20.36,33,26
"55","H8003","A","41","C","2","H","C",14,5.4,2.59,19.386,33,26
"56","H8003","B","11","C","0","D","A",12.66,14.08,2.18,74.835,33,34
"57","H8003","B","11","C","0","H","A",12.66,14.08,2.18,74.835,2,15
"58","H8003","B","11","C","0","H","A",12.66,14.08,2.18,74.835,23,27
"59","H8003","B","11","C","0","H","B",12.66,14.08,2.18,74.835,7,6
"60","H8003","B","11","C","0","H","C",12.66,14.08,2.18,74.835,3,3
"61","H8003","B","11","C","0","H","C",12.66,14.08,2.18,74.835,38,24
"62","H8003","B","11","C","1","D","A",12.66,14.08,2.165,47.002,5,26
"63","H8003","B","11","C","1","H","C",12.66,14.08,2.165,47.002,3,4
"64","H8003","B","11","C","1","H","C",12.66,14.08,2.165,47.002,38,16
"65","H8003","B","12","C","0","D","A",12.7,20.721,2.18,119.888,21,21
"66","H8003","B","12","C","0","H","A",12.7,20.721,2.18,119.888,2,14
"67","H8003","B","12","C","0","H","A",12.7,20.721,2.18,119.888,22,29
"68","H8003","B","12","C","0","H","B",12.7,20.721,2.18,119.888,4,5
"69","H8003","B","12","C","0","H","C",12.7,20.721,2.18,119.888,3,3
"70","H8003","B","12","C","0","H","C",12.7,20.721,2.18,119.888,38,30
"71","H8003","B","12","C","1","D","A",12.7,11.86,2.165,46.461,5,14
"72","H8003","B","12","C","1","H","C",12.7,11.86,2.165,46.461,3,3
"73","H8003","B","12","C","1","H","C",12.7,11.86,2.165,46.461,38,5
"74","H8003","B","12","C","2","H","C",12.7,8.86,2.165,29.891,3,3
"75","H8003","B","12","C","2","H","C",12.7,8.86,2.165,29.891,38,5
"76","H8003","B","13","C","G","H","D",13.93,32.2,7.787,280.822,6,3
"77","H8003","B","13","C","G","H","E",13.93,32.2,7.787,280.822,28,42
"78","H8003","B","13","C","G","P","A",13.93,32.2,7.787,280.822,39,39
"79","H8003","B","13","C","G","S","A",13.93,32.2,7.787,280.822,13,1
"80","H8003","B","13","P","0","D","A",13.93,13.36,7.787,153.028,34,28
"81","H8003","B","13","P","0","H","A",13.93,13.36,7.787,153.028,2,16
"82","H8003","B","13","P","0","H","A",13.93,13.36,7.787,153.028,15,21
"83","H8003","B","13","P","0","H","B",13.93,13.36,7.787,153.028,10,4
"84","H8003","B","13","P","0","H","C",13.93,13.36,7.787,153.028,3,2
"85","H8003","B","13","P","0","H","C",13.93,13.36,7.787,153.028,48,47
"86","H8003","B","13","P","0","S","A",13.93,13.36,7.787,153.028,27,2
"87","H8003","B","13","P","1","H","C",13.93,8.41,3.722,42.02,5,2
"88","H8003","B","13","P","1","H","C",13.93,8.41,3.722,42.02,48,40
"89","H8003","B","13","P","2","H","C",13.93,6.315,3.964,41.696,48,47
"90","H8003","B","13","P","3","D","A",13.93,14.15,2.165,63.789,7,19
"91","H8003","B","13","P","3","H","C",13.93,14.15,2.165,63.789,5,2
"92","H8003","B","13","P","3","H","C",13.93,14.15,2.165,63.789,48,42
"93","H8003","B","13","S","0","D","A",13.93,14.686,7.787,127.794,34,28
"94","H8003","B","13","S","0","H","B",13.93,14.686,7.787,127.794,10,4
"95","H8003","B","13","S","0","H","C",13.93,14.686,7.787,127.794,5,1
"96","H8003","B","13","S","0","H","C",13.93,14.686,7.787,127.794,54,50
"97","H8003","B","13","S","0","S","A",13.93,14.686,7.787,127.794,27,2
"98","H8003","B","13","S","1","H","C",13.93,8.41,3.722,42.02,3,1
"99","H8003","B","13","S","1","H","C",13.93,8.41,3.722,42.02,54,40
"100","H8003","B","13","S","2","H","C",13.93,6.315,3.964,41.696,54,50
"101","H8003","B","13","S","3","D","A",13.93,11.15,2.165,42.454,7,19
"102","H8003","B","13","S","3","H","C",13.93,11.15,2.165,42.454,3,1
"103","H8003","B","13","S","3","H","C",13.93,11.15,2.165,42.454,54,50
"104","H8003","B","14","C","G","D","A",13.62,24.3,2.18,173.822,7,10
"106","H8003","B","14","C","G","H","E",13.62,24.3,2.18,173.822,25,54
"107","H8003","B","14","C","G","P","A",13.62,24.3,2.18,173.822,31,31
"108","H8003","B","14","C","G","S","A",13.62,24.3,2.18,173.822,11,40
"109","H8003","B","14","P","0","D","A",13.62,13.65,2.18,99.636,36,10
"110","H8003","B","14","P","0","H","A",13.62,13.65,2.18,99.636,19,28
"111","H8003","B","14","P","0","H","A",13.62,13.65,2.18,99.636,15,1
"112","H8003","B","14","P","0","H","B",13.62,13.65,2.18,99.636,8,2
"113","H8003","B","14","P","0","H","C",13.62,13.65,2.18,99.636,3,5
"114","H8003","B","14","P","0","H","C",13.62,13.65,2.18,99.636,34,21
"115","H8003","B","14","P","1","D","A",13.62,13.65,2.165,62.381,7,6
"116","H8003","B","14","P","1","H","C",13.62,13.65,2.165,62.381,3,2
"117","H8003","B","14","P","1","H","C",13.62,13.65,2.165,62.381,34,21
