,Emergency,ApplyLeadTime,STG,Service,DIA,Length,Pass,Sch,Material,Weight,MemberCount,JointCount,Making_Co,MakingLT
0,1.0,정상,3B,FW,10.0,2408.0,B,T-6.35,CN,211.125,6.0,5.0,부흥,23.0
1,0.0,정상,3B,FW,10.0,1288.0,B,T-6.35,CN,89.411,2.0,1.0,부흥,30.0
2,0.0,정상,50,FW,10.0,436.0,B,T-6.35,CN,64.745,2.0,1.0,부흥,26.0
4,0.0,정상,3B,FW,4.0,1596.0,B,T-6.35,CN,30.8,2.0,1.0,부흥,30.0
5,0.0,정상,50,FW,4.0,618.0,B,T-6.35,CN,19.8,2.0,1.0,부흥,26.0
7,0.0,정상,3B,AU,2.0,6000.0,B,S-80,CS,60.99,5.0,4.0,성일SIM함안공장,30.0
8,0.0,정상,50,AU,2.0,987.0,B,S-80,CS,10.083,2.0,1.0,성일SIM함안공장,37.0
9,0.0,정상,50,AU,2.0,1448.0,B,S-80,CS,17.131,4.0,2.0,성일SIM함안공장,37.0
10,1.0,정상,50,AU,1.0,894.0,A,S-80,CS,4.813,4.0,3.0,건일산업(주),17.0
11,1.0,정상,50,AU,1.0,459.0,A,S-80,CS,1.487,1.0,0.0,건일산업(주),8.0
12,1.0,정상,50,AU,2.0,5948.0,A,S-80,CS,53.74100000000001,4.0,3.0,(주)성광테크,13.0
13,0.0,정상,3B,WD,3.0,2588.0,B,S-10S,SS,25.712,5.0,4.0,삼성중공업(주)거제,40.0
14,0.0,정상,3B,WD,3.0,6000.0,B,S-10S,SS,61.59,8.0,7.0,삼성중공업(주)거제,40.0
15,0.0,정상,50,WD,3.0,1239.0,B,S-10S,SS,7.992000000000001,1.0,0.0,삼성중공업(주)거제,40.0
16,1.0,정상,50,WD,1.0,894.0,A,S-80S,SS,4.869,4.0,3.0,건일산업(주),8.0
17,1.0,정상,50,WD,3.0,6000.0,A,S-10S,SS,47.13,4.0,3.0,건일산업(주),24.0
18,1.0,준긴급,50,FW,4.0,1890.0,B,T-6.35,CN,31.5,1.0,0.0,부흥,16.0
19,1.0,준긴급,50,FW,10.0,1890.0,B,T-6.35,CN,89.579,1.0,0.0,부흥,16.0
20,1.0,준긴급,50,FW,4.0,5869.0,B,T-6.35,CN,116.983,3.0,2.0,부흥,22.0
21,1.0,준긴급,50,FW,4.0,4327.0,B,T-6.35,CN,98.767,6.0,5.0,부흥,22.0
22,1.0,준긴급,50,FW,10.0,4350.0,B,T-6.35,CN,280.465,3.0,2.0,부흥,22.0
23,1.0,준긴급,50,FW,10.0,6000.0,B,T-6.35,CN,318.719,3.0,2.0,부흥,17.0
24,1.0,정상,3B,CWR,24.0,6000.0,B,S-20,CS,1653.0,19.0,21.0,건일산업(주),28.0
28,1.0,준긴급,50,CDW,2.0,1890.0,B,S-160,CS,20.998,1.0,0.0,건일산업(주),9.0
29,1.0,준긴급,50,AU,1.0,1364.0,B,S-80,CS,6.419,3.0,1.0,건일산업(주),9.0
30,1.0,준긴급,50,AI,2.0,1679.0,B,S-80,CS,39.56,9.0,8.0,건일산업(주),11.0
