,After2_Co,ApplyLeadTime,BLOCK,DIA,Distribution,Emergency,JointCount,Length,Making_Co,Material,MemberCount,NO_Base,NO_Serial,NO_SetPLT,No_row,PaintingLT,Pass,Problem,STG,Sch,Service,Weight
0,하이에어,정상,C010B,10.0,조선물류,1.0,5.0,2408.0,부흥,CN,6.0,SN2126TC010BPP03B0,40.0,PP039A1103,0,14.0,B,제작지연,3B,T-6.35,FW,211.125
3,하이에어,정상,C010B,4.0,조선물류,1.0,7.0,5086.0,부흥,CN,8.0,SN2126TC010BPP03B0,40.0,PP039A1104,3,14.0,B,제작지연,3B,T-6.35,FW,139.27
4,하이에어,정상,C010B,4.0,조선물류,0.0,1.0,1596.0,부흥,CN,2.0,SN2126TC010BPP03B0,30.0,PP039C010B,4,33.0,B,제작지연,3B,T-6.35,FW,30.8
5,하이에어,정상,C010B,4.0,조선물류,0.0,1.0,618.0,부흥,CN,2.0,SN2126T0C200PP0500,30.0,PP05RC010B,5,33.0,B,제작지연,50,T-6.35,FW,19.8
6,하이에어,정상,C010B,2.0,조선물류,0.0,1.0,987.0,성일SIM함안공장,CS,2.0,SN2126T0C200PP0500,40.0,PP05RC010B,8,31.0,B,제작지연,50,S-80,AU,10.083
7,하이에어,정상,C010B,2.0,조선물류,0.0,2.0,1448.0,성일SIM함안공장,CS,4.0,SN2126T0C200PP0500,40.0,PP05RC010B,9,31.0,B,제작지연,50,S-80,AU,17.131
8,건일산업(주),정상,C010A,1.0,조선물류,1.0,3.0,894.0,건일산업(주),CS,4.0,SN2126T0C100PP0500,40.0,PP05RA1105,10,21.0,A,제작지연,50,S-80,AU,4.813
9,건일산업(주),정상,C010A,1.0,조선물류,1.0,0.0,459.0,건일산업(주),CS,1.0,SN2126T0C100PP0500,40.0,PP05RA1105,11,27.0,A,기타,50,S-80,AU,1.487
10,(주)성광테크,정상,C010A,2.0,조선물류,1.0,3.0,5948.0,(주)성광테크,CS,4.0,SN2126T0C100PP0500,40.0,PP058A1104,12,15.0,A,제작지연,50,S-80,AU,53.74100000000001
11,하이에어,정상,C010B,3.0,조선물류,0.0,1.0,957.0,삼성중공업(주)거제,SS,2.0,SN2126T0C200PP0500,80.0,PP05RC010B,15,28.0,B,제작지연,50,S-10S,WD,11.373
12,하이에어,정상,C010A,1.0,조선물류,1.0,3.0,894.0,건일산업(주),SS,4.0,SN2126T0C100PP0500,30.0,PP05RA1105,17,31.0,A,제작지연,50,S-80S,WD,4.869
13,하이에어,정상,C010A,3.0,조선물류,1.0,3.0,6000.0,건일산업(주),SS,4.0,SN2126T0C100PP0500,30.0,PP058A1104,18,21.0,A,제작지연,50,S-10S,WD,47.13
14,하이에어,준긴급,C020B,4.0,조선물류,1.0,0.0,1890.0,부흥,CN,1.0,SN2126T0C200PP0500,40.0,PP05RA1104,19,8.0,B,제작지연,50,T-6.35,FW,31.5
15,하이에어,준긴급,C020B,10.0,조선물류,1.0,0.0,1890.0,부흥,CN,1.0,SN2126T0C200PP0500,40.0,PP05RA1103,20,8.0,B,제작지연,50,T-6.35,FW,89.579
16,하이에어,준긴급,C020B,4.0,조선물류,1.0,2.0,5869.0,부흥,CN,3.0,SN2126T0C200PP0500,40.0,PP058A1104,21,9.0,B,LT부족,50,T-6.35,FW,116.983
17,하이에어,준긴급,C020B,4.0,조선물류,1.0,5.0,4327.0,부흥,CN,6.0,SN2126T0C200PP0500,40.0,PP058A1104,22,9.0,B,LT부족,50,T-6.35,FW,98.767
18,하이에어,준긴급,C020B,10.0,조선물류,1.0,2.0,4350.0,부흥,CN,3.0,SN2126T0C200PP0500,40.0,PP058A1103,23,9.0,B,LT부족,50,T-6.35,FW,280.465
19,하이에어,준긴급,C020B,10.0,조선물류,1.0,2.0,6000.0,부흥,CN,3.0,SN2126T0C200PP0500,40.0,PP058A1103,24,8.0,B,LT부족,50,T-6.35,FW,318.719
20,하이에어,정상,C020B,20.0,조선물류,0.0,8.0,676.0,성일SIM함안공장,CS,9.0,SN2126T0C200PP0500,40.0,PP05M,25,10.0,B,제작지연,50,S-20,CWR,704.4
21,건일산업(주),정상,C020B,24.0,조선물류,1.0,21.0,6000.0,건일산업(주),CS,19.0,SN2126TC020BPP03B0,60.0,PP039A1102,26,15.0,B,설계(REV),3B,S-20,CWR,1653.0
22,건일산업(주),정상,C020B,24.0,조선물류,1.0,20.0,6000.0,건일산업(주),CS,18.0,SN2126TC020BPP03B0,60.0,PP039A1102,27,15.0,B,설계(REV),3B,S-20,CWS,1461.43
23,하이에어,정상,C020B,20.0,조선물류,0.0,4.0,2415.0,성일SIM함안공장,CS,5.0,SN2126T0C200PP0500,40.0,PP05M,28,18.0,B,제작지연,50,S-20,CWS,719.2710000000002
24,건일산업(주),준긴급,C020B,6.0,조선물류,1.0,0.0,1889.0,건일산업(주),CS,1.0,SN2126T0C200PP0500,60.0,PP05RA1104,29,20.0,B,제작지연,50,S-40,FWH,53.383
25,건일산업(주),준긴급,C020B,2.0,조선물류,1.0,0.0,1890.0,건일산업(주),CS,1.0,SN2126T0C200PP0500,60.0,PP05RA1104,30,20.0,B,제작지연,50,S-160,CDW,20.998
26,건일산업(주),준긴급,C020B,1.0,조선물류,1.0,1.0,1364.0,건일산업(주),CS,3.0,SN2126T0C200PP0500,60.0,PP05RA1105,31,19.0,B,제작지연,50,S-80,AU,6.419
27,건일산업(주),준긴급,C020B,2.0,조선물류,1.0,8.0,1679.0,건일산업(주),CS,9.0,SN2126T0C200PP0500,60.0,PP058A1104,32,18.0,B,LT부족,50,S-80,AI,39.56
