,DIA,Length,Weight,MemberCount,JointCount,Emergency,ApplyLeadTime,BLOCK,STG,Service,NO_Serial,Problem,NO_Base,NO_SetPLT,Pass,Sch,Material,Making_Co,After2_Co,Distribution,PaintingLT
0,10.0,2408,211.125,6,5,1,정상,C010B,3B,FW,40.0,제작지연,SN2126TC010BPP03B0,PP039A1103,B,T-6.35,CN,부흥,하이에어,조선물류,14.0
1,10.0,1288,89.411,2,1,0,정상,C010B,3B,FW,30.0,제작지연,SN2126TC010BPP03B0,PP039C010B,B,T-6.35,CN,부흥,하이에어,조선물류,33.0
2,10.0,436,64.745,2,1,0,정상,C010B,50,FW,30.0,제작지연,SN2126T0C200PP0500,PP05RC010B,B,T-6.35,CN,부흥,하이에어,조선물류,33.0
3,4.0,5086,139.27,8,7,1,정상,C010B,3B,FW,40.0,제작지연,SN2126TC010BPP03B0,PP039A1104,B,T-6.35,CN,부흥,하이에어,조선물류,14.0
4,4.0,1596,30.8,2,1,0,정상,C010B,3B,FW,30.0,제작지연,SN2126TC010BPP03B0,PP039C010B,B,T-6.35,CN,부흥,하이에어,조선물류,33.0
5,4.0,618,19.8,2,1,0,정상,C010B,50,FW,30.0,제작지연,SN2126T0C200PP0500,PP05RC010B,B,T-6.35,CN,부흥,하이에어,조선물류,33.0
6,2.0,2706,26.465,5,4,0,정상,C010B,3B,AU,40.0,제작지연,SN2126TC010BPP03B0,PP039C010B,B,S-80,CS,성일SIM함안공장,하이에어,조선물류,53.0
7,2.0,6000,60.99,5,4,0,정상,C010B,3B,AU,40.0,제작지연,SN2126TC010BPP03B0,PP039C010B,B,S-80,CS,성일SIM함안공장,하이에어,조선물류,44.0
8,2.0,987,10.083,2,1,0,정상,C010B,50,AU,40.0,제작지연,SN2126T0C200PP0500,PP05RC010B,B,S-80,CS,성일SIM함안공장,하이에어,조선물류,31.0
9,2.0,1448,17.131,4,2,0,정상,C010B,50,AU,40.0,제작지연,SN2126T0C200PP0500,PP05RC010B,B,S-80,CS,성일SIM함안공장,하이에어,조선물류,31.0
10,1.0,894,4.813,4,3,1,정상,C010A,50,AU,40.0,제작지연,SN2126T0C100PP0500,PP05RA1105,A,S-80,CS,건일산업(주),건일산업(주),조선물류,21.0
11,1.0,459,1.4869999999999999,1,0,1,정상,C010A,50,AU,40.0,기타,SN2126T0C100PP0500,PP05RA1105,A,S-80,CS,건일산업(주),건일산업(주),조선물류,27.0
12,2.0,5948,53.74100000000001,4,3,1,정상,C010A,50,AU,40.0,제작지연,SN2126T0C100PP0500,PP058A1104,A,S-80,CS,(주)성광테크,(주)성광테크,조선물류,15.0
13,3.0,2588,25.712,5,4,0,정상,C010B,3B,WD,80.0,제작지연,SN2126TC010BPP03B0,PP039C010B,B,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,39.0
14,3.0,6000,61.59,8,7,0,정상,C010B,3B,WD,80.0,제작지연,SN2126TC010BPP03B0,PP039C010B,B,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,39.0
15,3.0,957,11.373,2,1,0,정상,C010B,50,WD,80.0,제작지연,SN2126T0C200PP0500,PP05RC010B,B,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,28.0
16,3.0,1239,7.992000000000001,1,0,0,정상,C010B,50,WD,80.0,제작지연,SN2126T0C200PP0500,PP05RC010B,B,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,39.0
17,1.0,894,4.869,4,3,1,정상,C010A,50,WD,30.0,제작지연,SN2126T0C100PP0500,PP05RA1105,A,S-80S,SS,건일산업(주),하이에어,조선물류,31.0
19,3.0,6000,47.13,4,3,1,정상,C010A,50,WD,30.0,제작지연,SN2126T0C100PP0500,PP058A1104,A,S-10S,SS,건일산업(주),하이에어,조선물류,21.0
20,4.0,1890,31.5,1,0,1,준긴급,C020B,50,FW,40.0,제작지연,SN2126T0C200PP0500,PP05RA1104,B,T-6.35,CN,부흥,하이에어,조선물류,8.0
21,10.0,1890,89.579,1,0,1,준긴급,C020B,50,FW,40.0,제작지연,SN2126T0C200PP0500,PP05RA1103,B,T-6.35,CN,부흥,하이에어,조선물류,8.0
22,4.0,5869,116.98299999999999,3,2,1,준긴급,C020B,50,FW,40.0,LT부족,SN2126T0C200PP0500,PP058A1104,B,T-6.35,CN,부흥,하이에어,조선물류,9.0
23,4.0,4327,98.76700000000001,6,5,1,준긴급,C020B,50,FW,40.0,LT부족,SN2126T0C200PP0500,PP058A1104,B,T-6.35,CN,부흥,하이에어,조선물류,9.0
24,10.0,4350,280.465,3,2,1,준긴급,C020B,50,FW,40.0,LT부족,SN2126T0C200PP0500,PP058A1103,B,T-6.35,CN,부흥,하이에어,조선물류,9.0
25,10.0,6000,318.719,3,2,1,준긴급,C020B,50,FW,40.0,LT부족,SN2126T0C200PP0500,PP058A1103,B,T-6.35,CN,부흥,하이에어,조선물류,8.0
26,20.0,676,704.4,9,8,0,정상,C020B,50,CWR,40.0,제작지연,SN2126T0C200PP0500,PP05M,B,S-20,CS,성일SIM함안공장,하이에어,조선물류,10.0
27,24.0,6000,1653.0,19,21,1,정상,C020B,3B,CWR,60.0,설계(REV),SN2126TC020BPP03B0,PP039A1102,B,S-20,CS,건일산업(주),건일산업(주),조선물류,15.0
28,24.0,6000,1461.43,18,20,1,정상,C020B,3B,CWS,60.0,설계(REV),SN2126TC020BPP03B0,PP039A1102,B,S-20,CS,건일산업(주),건일산업(주),조선물류,15.0
29,20.0,2415,719.2710000000001,5,4,0,정상,C020B,50,CWS,40.0,제작지연,SN2126T0C200PP0500,PP05M,B,S-20,CS,성일SIM함안공장,하이에어,조선물류,18.0
30,6.0,1889,53.383,1,0,1,준긴급,C020B,50,FWH,60.0,제작지연,SN2126T0C200PP0500,PP05RA1104,B,S-40,CS,건일산업(주),건일산업(주),조선물류,20.0
31,2.0,1890,20.998,1,0,1,준긴급,C020B,50,CDW,60.0,제작지연,SN2126T0C200PP0500,PP05RA1104,B,S-160,CS,건일산업(주),건일산업(주),조선물류,20.0
32,1.0,1364,6.419,3,1,1,준긴급,C020B,50,AU,60.0,제작지연,SN2126T0C200PP0500,PP05RA1105,B,S-80,CS,건일산업(주),건일산업(주),조선물류,19.0
33,2.0,1679,39.56,9,8,1,준긴급,C020B,50,AI,60.0,LT부족,SN2126T0C200PP0500,PP058A1104,B,S-80,CS,건일산업(주),건일산업(주),조선물류,18.0
34,2.0,1258,14.81,3,1,1,준긴급,C020B,50,AI,60.0,제작지연,SN2126T0C200PP0500,PP05RA1104,B,S-80,CS,건일산업(주),건일산업(주),조선물류,35.0
35,1.0,3652,21.299,7,6,1,정상,C020B,3B,AU,60.0,LT부족,SN2126TC020BPP0300,PP039A1105,B,S-80,CS,건일산업(주),하이에어,조선물류,14.0
36,2.0,1258,14.81,3,1,1,준긴급,C020B,50,N,60.0,제작지연,SN2126T0C200PP0500,PP05RA1104,B,S-80,CS,건일산업(주),건일산업(주),조선물류,19.0
37,1.0,2852,19.476,8,7,1,정상,C020B,3B,AU,60.0,LT부족,SN2126TC020BPP0300,PP039A1105,B,S-80,CS,(주)성광테크,(주)성광테크,조선물류,20.0
38,2.0,1799,25.404,6,5,1,준긴급,C020B,50,N,60.0,LT부족,SN2126T0C200PP0500,PP058A1104,B,S-80,CS,건일산업(주),건일산업(주),조선물류,18.0
39,2.0,2529,25.228,9,8,1,준긴급,C020B,50,AI,60.0,설계보류,SN2126T0C200PP0500,PP058A1104,B,S-80,CS,건일산업(주),건일산업(주),조선물류,14.0
40,2.0,3928,41.091,7,6,1,준긴급,C020B,50,N,60.0,설계보류,SN2126T0C200PP0500,PP058A1104,B,S-80,CS,건일산업(주),건일산업(주),조선물류,14.0
41,6.0,2772,88.277,2,1,1,준긴급,C020B,3B,FWH,60.0,기타,SN2126TC020BPP03B0,PP039A1104,B,S-40,CS,건일산업(주),건일산업(주),조선물류,18.0
